"Nr. Ctr.","Adresa","Nr","Sector","Anul construirii","Regimul de inaltime","Numar de apartamente","Anul Elaborarii Expertizei Tehnice","Expertul tehnic atestat pentru cerinta esentiala de calitate-rezistenta mecanica si stabilitate - M.D.L.P.A.","Ultima incadrare in clasa de risc","Incadrari anterioare in clasa de risc","Observatii"
"785","Strada IEREMIA GRIGORESCU (Teatrul de animatie TANDARICA)","24","Sector 1","1940÷1945","S partial+P+5E","0","2012","Mihai VOICULESCU","3.Clasa de risc seismic RsIII.",,
"786","Strada ILFOV","1A","Sector 5","1933","S+P+4E","0","1999","Rodica VASILESCU","3.Clasa de risc seismic RsIII.",,
"787","Splaiul INDEPENDENTEI","58","Sector 5","1932","S+P+2E","4","1997","ing. Mihai URSACHESCU","3.Clasa de risc seismic RsIII.",,
"788","Strada ION BREZOIANU","3÷5","Sector 5","1959","S+P+9E","0","1996","Dan CAPATINA","3.Clasa de risc seismic RsIII.",,
"789","Strada ION BREZOIANU","18","Sector 1","1933÷1934","S+P+Mz+7E","27","2013","Ionel BELGUN","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2016"
"790","Strada ION CAMPINEANU","1 (corp B)","Sector 1","1957","S+P+7E","21","2000","ing. Mihai URSACHESCU","3.Clasa de risc seismic RsIII.",,
"791","Strada ION GHICA (BIBLIOTECA NATIONALA A ROMANIEI  Sediul central)","4","Sector 3","1907÷1912","S+P+4E+Pod",,"2004","Valentin SEVCENCO","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2004"
"792","Bulevardul ION MIHALACHE","71","Sector 1","1930","S+P+1E+Ma","4","1997","Rodica VASILESCU","3.Clasa de risc seismic RsIII.",,
"793","Strada JULES MICHELET","15÷17","Sector 1","1928","S+P+5E","19","1997","ing. Mihai URSACHESCU","3.Clasa de risc seismic RsIII.",,
"794","Bulevardul LASCAR CATARGIU","14","Sector 1","1938","S+P+2E+Ma","10","1996","Vladimir AMBROZIE","3.Clasa de risc seismic RsIII.",,
"795","Bulevardul LASCAR CATARGIU","16","Sector 1","1929","S+P+3E","13","1996","Alexandru HRISTOFOROV","3.Clasa de risc seismic RsIII.",,
"796","Strada LEONIDA","16","Sector 2","1936","S+P+2E","5","1997","Rodica VASILESCU","3.Clasa de risc seismic RsIII.",,
"797","Strada LEONIDA","33 (corp A+B)","Sector 2","1934","S+P+2E ;S+P","3","1997","Adina SIMION","3.Clasa de risc seismic RsIII.",,
"798","Intrarea LICURICI","5","Sector 3","1934","S+P+2E+Ma","12","1997","Ion POPA","3.Clasa de risc seismic RsIII.",,
"799","Strada LIPSCANI (colT cu Strada STAVROPOLEOS)","14 (5)","Sector 3","1898; 1900","S+P+2E; S+P+2E+Ma","0","2010","Mircea MIRONESCU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2010"
"800","Strada MAHATMA GANDHI","7","Sector 1","1925","Ds+P+1E+Ma","7","2014","Nicolae STOICA","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2014"
"801","Strada MANTULEASA","12","Sector 2","1935","S+P+5E+Ma","17","1997","ing. Mihai URSACHESCU","3.Clasa de risc seismic RsIII.",,
"802","Strada MANTULEASA","5","Sector 2","1933","S+P+5E","13","1997","ing. Mihai URSACHESCU","3.Clasa de risc seismic RsIII.",,
"803","Strada MANTULEASA","8","Sector 2","1932","S+P+6E","2","1997","ing. Mihai URSACHESCU","3.Clasa de risc seismic RsIII.",,
"804","Bulevardul MARASESTI","42 (bloc 1)","Sector 4","1963","S+P+Mz+8E","137","2016","Dan CAPATANA","3.Clasa de risc seismic RsIII.",,"incadrare in clasa de risc seismic in anul 2016; AC nr.531/41329/2016 PVRTL nr.208/2017"
"805","Strada MATEI VOIEVOD","125÷133 (bloc O1)","Sector 2","1963","S+P+10E","132","1993","Dan POPESCU","3.Clasa de risc seismic RsIII.",,
"806","Soseaua MIHAI BRAVU","75÷83 (bloc C17; sc.A+B+C)","Sector 2","1961","S+P+9E","0","2009","Zefir APOSTOL","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2009"
"807","Strada MIHAI EMINESCU (Teatrul METROPOLIS)","89","Sector 2","1952","S+P+2E","0","1997","Horia DUGAN","3.Clasa de risc seismic RsIII.",,
"808","Bulevardul MIHAIL KOGALNICEANU","24 (fost 54)","Sector 5","1875","S+P+2E","9","1993","Vladimir AMBROZIE","3.Clasa de risc seismic RsIII.",,
"809","Bulevardul MIHAIL KOGALNICEANU","26 (fost 56)","Sector 5","1894","S+P+2E","9","1996","Vladimir AMBROZIE","3.Clasa de risc seismic RsIII.",,
"810","Strada MIRCEA VULCANESCU","87B","Sector 1","1936","S+P+2E","5","1997","Ovidiu GEORGESCU","3.Clasa de risc seismic RsIII.",,
"811","Strada MITROPOLIT NIFON","1","Sector 4","1925","S+P+2E+Ma","2","1993","Eugeniu IORDACHESCU","3.Clasa de risc seismic RsIII.",,
"812","Intrarea MONEASA","5","Sector 1","1935","Ds+P+2E+Pod","9","2013","Constantin PAVEL","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2013"
"813","Strada OCCIDENTULUI","45 (corp A)","Sector 1","1935","S+P+3E+Ma","11","2013","Catalin STEFAN","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2013"
"814","Strada OCCIDENTULUI (colT cu Strada ECATERINA TEODOROIU)","32 (22)","Sector 1",,"S+P+1E+Ma (anexa: P)","5","2018","Bogdan GULEAC","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2018"
"815","Strada OLARI","32","Sector 2","1916","S+P+1E+Ma","0","2017","Anatolie CAZACLIU","3.Clasa de risc seismic RsIII.",,"AC nr.730/17""O""/08.07.2004"
"816","Strada OLIMPULUI","43","Sector 4","1939","S+P+3E+Ma","0","2014","Traian POPP","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2014"
"817","Soseaua OLTENITEI","83 (bloc 12)","Sector 4","1963","S+P+9E","40","2011","Gheorghe SARBU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2011"
"818","Strada PAMFIL NASTASE","19","Sector 2","1936","S+P+2E+Ma","4","1997","Alexandru HRISTOFOROV","3.Clasa de risc seismic RsIII.",,
"819","Soseaua PANTELIMON","247 (bloc 54)","Sector 2","1979","S+P+Mz+18E","102","2013","Mihai VOICULESCU","3.Clasa de risc seismic RsIII.","INCADRAT IN MAI MULTE CATEGORII DE URGENTA/CLASE DE RISC","Incadrare in clasa de risc seismic RsIII spre RsIV in anul 2013"
"820","Soseaua PANTELIMON","287 (bloc 10)","Sector 2","1973-1975","S+P+10E","160","2013","Gavril POP","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic RsIII in anul 2013 (documentatie tehnico economica elaborata pentru cresterea eficientei energetice a constructiei)"
"821","Soseaua PAVEL DIMITRIEVICI KISELEFF","22","Sector 1","1961","S+P+2E","9","1997","Marin TEODOR","3.Clasa de risc seismic RsIII.",,
"822","Calea PLEVNEI","5÷7","Sector 5","1947","S+P+8E","32","1993;2000","Grigore ARSENIE","3.Clasa de risc seismic RsIII.",,
"823","Strada POPA NAN","137A","Sector 3","1933","S+P+3E+Pod","8","1997","Ion POPA","3.Clasa de risc seismic RsIII.",,
"824","Strada POPA PETRE","14","Sector 2","1930","S+P+3E","14","1996","Eugeniu IORDACHESCU","3.Clasa de risc seismic RsIII.",,
"825","Bulevardul REGINA ELISABETA (fost Bulevardul MIHAIL KOGALNICEANU)","57 (37; corp A+B)","Sector 5","1900","S+P+2E+Ma; P+1E+Pod","11","2013","Maria DARIE","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2013"
"826","Bulevardul REGINA ELISABETA (fost Bulevardul MIHAIL KOGALNICEANU)","59 (39)","Sector 5","1900","S+P+2E+Ma","9","2013","Maria DARIE","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2013"
"827","Bulevardul REGINA ELISABETA (fost Bulevardul MIHAIL KOGALNICEANU)","61 (41)","Sector 5","1927","S+P+4E+Ma","0","1993","Niculaie TUDOSE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"828","Bulevardul REGINA ELISABETA (fost Bulevardul MIHAIL KOGALNICEANU)","69 (49)","Sector 5","1900","S+P+3E","12","1995","Adina SIMION","1.Clasa de risc seismic RsI.",,
"829","Bulevardul REGINA ELISABETA (UNIVERSITATEA BUCURESTI)","4÷14","Sector 1","1857-1970","D+P+2E+2Ma","-","2016","Mircea MIRONESCU","3.Clasa de risc seismic RsIII.","INCADRAT IN MAI MULTE CATEGORII DE URGENTA/CLASE DE RISC","Incadrat in RsII spre RsIII"
"830","Strada ROMULUS","28 (corp B)","Sector 3","1930","P","0","1993","Adina SIMION","3.Clasa de risc seismic RsIII.",,
