"Nr. Ctr.","Adresa","Nr","Sector","Anul construirii","Regimul de inaltime","Numar de apartamente","Anul Elaborarii Expertizei Tehnice","Expertul tehnic atestat pentru cerinta esentiala de calitate-rezistenta mecanica si stabilitate - M.D.L.P.A.","Ultima incadrare in clasa de risc","Incadrari anterioare in clasa de risc","Observatii"
"1259","Strada COVACI","13","Sector 3","1935","S+P+1E","0","1993","Mircea PERJESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1260","Strada COVACI","21","Sector 3","1920","S+P+3E","0","1994","Dan CAPATINA","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1261","Strada COVASNA","15 (bloc A3)","Sector 4","1968","S+P+10E","0","1995","Dan STANCIULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1262","Strada COVASNA","27 (bloc A7)","Sector 4","1965","S+P+10E","0","1995","Dan STANCIULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1263","Strada COZLA","2A (bloc F3)","Sector 3","1973","S+P+10E","0","1995","Dan STANCIULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1264","Strada CRACIUN","8","Sector 1","1931","S+P+2E+Ma","0","1994","Armand NEFIAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1265","Strada CRINUL DE PADURE","2 (bloc F2)","Sector 6","1965","S+P+4E","0","1995","Dan STANCIULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1266","Strada CRINULUI","5÷15 (bloc A3)","Sector 1","1965","S+P+10E","0","1995","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1267","Strada CRISANA","3","Sector 1","1923","S+P+2E+Ma","0","1993","Constantin ARIENESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1268","Strada CRISANA","35","Sector 1","1913","S+P+1E+Ma","0","1993","Constantin ARIENESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1269","Strada CRIZANTEMELOR","2 (bloc Z11)","Sector 5","1970","S+P+4E","0","1993","Gabriel NICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1270","Strada CRIZANTEMELOR","4 (bloc Z10)","Sector 5","1970","S+P+4E","0","1993","Gabriel NICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1271","Strada CRIZANTEMELOR","6 (bloc Z9)","Sector 5","1970","S+P+4E","0","1993","Gheorghe DUMITRESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1272","Strada CRIZANTEMELOR","8 (bloc Z8)","Sector 5","1970","S+P+4E","0","1993","Gabriel NICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1273","Strada CRIZANTEMELOR","16 (bloc Z4)","Sector 5","1970","S+P+4E","0","1993","Gabriel NICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1274","Strada CRIZANTEMELOR","20 (bloc Z2)","Sector 5","1970","S+P+4E","0","1993","Gheorghe DUMITRESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1275","Strada CULMEA VECHE","5","Sector 3","1920","S+P+3E","0","1993","Alexandru PROGRESEANU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1276","Strada CUTITUL DE ARGINT","18 (corp A+B)","Sector 4","1900","S+P","0","1993","Cristisn BALAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1277","Strada CUTITUL DE ARGINT","19","Sector 4","1935","S+P+1E","0","1993","Cristian BALAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1278","Strada CUTITUL DE ARGINT","28 (corp B+C)","Sector 4","1927","S+P; S+P+1E","0","1993","Cristian BALAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1279","Strada CUTITUL DE ARGINT","62÷62A","Sector 4","1940","S+P+2E","0","1993","Cristian BALAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1280","Strada CUTITUL DE ARGINT","64 (corp A+B+C)","Sector 4","1900","S+P","0","1993","Cristian BALAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1281","Strada CUTITUL DE ARGINT","68 (corp A+B)","Sector 4","1938","S+P+2E+Ma; S+P","0","1993","Cristian BALAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1282","Strada CUTITUL DE ARGINT","72A","Sector 4","1930","S+P+2E","0","1993","Cristian BALAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1283","Strada CUTITUL DE ARGINT","74","Sector 4","1938","S+P+1E","0","1993","Cristian BALAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1284","Strada CUZA VODA","53 (corp A+B)","Sector 4","1900","S+P+1E; S+P+3E+Ma","0","1993; 1994","Traian POPP; Horia DUGAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1285","Strada CUZA VODA","78","Sector 4","1910","S+P+1E","0","1993","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1286","Strada CUZA VODA","89","Sector 4","1932","S+P+3E","0","1994","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1287","Strada CUZA VODA","86 (corp A+B)","Sector 4","1900","S+P+1E; S+P","0","1993","Corneliu NICUT","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1288","Strada CUZA VODA","93 (corp A+B)","Sector 4","1920","S+P","0","1993","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2. U3"
"1289","Strada CUZA VODA","98 (corp A+B+C+D+E)","Sector 4","1928","S+P+1E","0","1993","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1290","Bulevardul DACIA","32 (fost 2)","Sector 1","1912","S+P+3E+Ma","0","2023","ing. Mihai URSACHESCU","2.Clasa de risc seismic RsII",,"INCADRARE IN CATEGORIE DE URGENTA U2 ÎN ANUL 1996 EXPERT ING. MIHAI URSĂCHESCU"
"1291","Bulevardul DACIA","37 (fost 11)","Sector 1","1920","S+P+4E","0","1994","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1292","Bulevardul DACIA","45 (fost 1A)","Sector 1","1940","S+P+7E","0","1993","Armand NEFIAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1293","Bulevardul DACIA","38 (fost 12)","Sector 1","1929","S+P+2E","0","1993","Eugeniu IORDACHESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1294","Bulevardul DACIA","80 (fost 52A)","Sector 2","1947","S+P+7E+Ma","0","1993","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1295","Bulevardul DACIA","101 (fost 47)","Sector 2","1928","S+P+2E+Ma","7","1993","Stelian PICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1296","Bulevardul DACIA","103 (nr. vechi 49)","Sector 2","1935","S+P+4E","0","1993","Alexandru PROGRESEANU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1297","Bulevardul DACIA","(fost nr. 75A)","Sector 2","1934","S+P+3E","0","1993","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1298","Bulevardul DACIA","104 (fost 74)","Sector 2","1933","S+P+3E+Ma","0","1995","Radu AGENT","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1299","Bulevardul DACIA","84","Sector 2","1936","S+P+4E+Ma","0","1993","Dan DUMITRESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1300","Bulevardul DACIA","116 (fost 86)","Sector 2","1934","S+P+3E+Ma","0","1993","Dan DUMITRESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1301","Bulevardul DACIA","131 (fost 101)","Sector 2","1928","S+P+2E+Ma","0","1993","Theodor MARIN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1302","Bulevardul DACIA","149 (fost 119)","Sector 2","1920","S+P+2E; S+P+1E","0","1993","Alexandru PROGRESEANU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1303","Bulevardul DACIA","153 (fost 123)","Sector 2","1888","S+P","0","1993","Constantin DALBAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1304","Bulevardul DACIA","159 (fost 129; corp A+B)","Sector 2","1926; 1930","S+P; S+P+2E","0","1993","Alexandru PROGRESEANU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1305","Bulevardul DACIA","160 (fost 130; corp A+B)","Sector 2","1924","S+P; S+P","0","1993","Constantin DALBAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1306","Bulevardul DACIA","168 (fost 138)","Sector 2","1930","S+P+3E+Ma","13","1993","Constantin ARIENESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1307","Bulevardul DACIA","172 (fost 142)","Sector 2","1924","S+P+1E;S+P+2E","0","1993","Adina SIMION","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1308","Strada DAVID PRAPORGESCU","29","Sector 2","1890","S+P+2E","0","1993","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1309","Aleea DEALUL MITROPOLIEI","5","Sector 4","1927","S+P+3E","0","1993","Alexandru BRANZEI","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1310","Aleea DEALUL MITROPOLIEI","7","Sector 4","1896","S+P+3E","0","1993","Dan CAPATINA","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1311","Aleea DEALUL MITROPOLIEI","11","Sector 4","1930","S+P+2E","0","1993","Alexandru BRANZEI","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1312","Aleea DEALUL MITROPOLIEI","17","Sector 4","1923","S+P+1E+Ma","0","1993","Cristian BALAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1313","Aleea DEALUL MITROPOLIEI","19","Sector 4","1926","S+P+2E+Ma","0","1993","Corneliu NICUT","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1314","Strada DEJ","78","Sector 1","1945","S+P+1E","0","1993","Mircea MIRONESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1315","Strada DESPOT VODA","38","Sector 2","1900","S+P","0","1993","Constantin DALBAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"Imobil propus pentru demolare"
"1316","Strada DIANEI","13","Sector 2","1925","S+P+2E+Ma","3","2023","Andrei Dragos Marcu","1.Clasa de risc seismic RsI.	",,"Incadrare in categoria de urgenta U1 in anul 1993, expert Traian Popp."
"1317","Strada DIDITEL","14","Sector 4","1915","S+P+1E+Ma","0","1993","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1318","Strada DIDITEL","13","Sector 4","1920","S+P+1E","0","1993","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1319","Strada DIMITRIE BOLINTINEANU","2","Sector 3","1928","S+P+4E","0","1993","Niculae TUDOSE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1320","Strada DIMITRIE BOLINTINEANU","3","Sector 3","1949","S+P+7E+Ma","0","1994","Theodor MARIN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1321","Bulevardul DIMITRIE CANTEMIR","3 (bloc 4)","Sector 4","1962","S+P+10E","0","1996","Valentin GEORGESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1322","Bulevardul DIMITRIE CANTEMIR","4 (bloc 3C)","Sector 4","1963","S+P+8E","0","1996","Alexandru BRANZEI","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1323","Bulevardul DIMITRIE CANTEMIR","5 (bloc 6)","Sector 4","1962","S+P+10E","0","1996","Valentin GEORGESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1324","Bulevardul DIMITRIE CANTEMIR","9 (bloc 7)","Sector 4","1962","S+P+10E","0","1996","Valentin GEORGESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1325","Strada DIMITRIE GIURESCU","4","Sector 1","1930","S+P+2E+Ma","0","1993","Gabriel NICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1326","Strada DIMITRIE GIURESCU","7","Sector 1","1935","S+P+Mz+3E","0","1994","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1327","Strada DIMITRIE GIURESCU","9","Sector 1","1910","S+P+1E+Ma","0","1993","Gabriel NICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1328","Strada DIMITRIE GIURESCU","10","Sector 1","1900","S+P+1E+Ma","0","1993","Gabriel NICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1329","Strada DIMITRIE GUSTI","19","Sector 1","1929","S+P+1E","0","1993","Mircea PERJESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U4"
"1330","Strada DIMITRIE ONCIUL","12","Sector 2","1934","S+P+3E","0","1993","Radu PETROVICI","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1331","Strada DIMITRIE ONCIUL","16","Sector 2","1936","S+P+3E+Pod","0","1994","ing. Mihai URSACHESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1332","Strada DIMITRIE ONCIUL","31","Sector 2","1900","S+P+Ma","0","1993","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1333","Strada DIMITRIE ORBESCU","8","Sector 2","1931","S+P+2E+Ma","0","1993","Leonid NEAGOE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1334","Strada DIMITRIE ORBESCU","11","Sector 2","1937","S+P+4E","0","1993","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1335","Strada DIMITRIE ORBESCU","12","Sector 2","1930","DS+P+1+M","6","1993","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3. U2"
"1336","Strada DIMITRIE RACOVITA","25","Sector 2","1938","S+P+3E","0","1993","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1337","Strada DIMITRIE RACOVITA","30A","Sector 2","1946","S+P+2E+Ma","0","1993","ing. Mihai URSACHESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1338","Strada DIMITRIE RACOVITA","41","Sector 2","1936","S+P+5E","0","1993","Mircea CONDRUT","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1339","Strada DIMITRIE SALMEN","20","Sector 2","1934","S+P+2E+Ma","0","1993","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1340","Strada DIMITRIE SALMEN","30 (corp A)","Sector 2","1934","P+3E","0","1993","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1341","Bulevardul DINICU GOLESCU","1A","Sector 1","1930","S+Ds+P+3E","0","1993","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1342","Bulevardul DINICU GOLESCU","9 (corp A+B)","Sector 1","1920","S+P+2E; S+P+Mz+3E","0","1993","Mircea PERJESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1343","Strada DIONISIE LUPU","31","Sector 2","1931","S+P+4E","13","1993","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1344","Strada DIONISIE LUPU","74","Sector 1","1941","S+P+8E","36","1994","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1345","Strada DOAMNA GHICA","125 (corp A+B)","Sector 2","1923","S+P+1E; S+P","0","1993","Constantin DALBAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1346","Strada DOAMNEI","1","Sector 3","1895","S+P+2E+Ma","0","1993","Voicu DORDEA","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1347","Strada DOAMNEI","7","Sector 3","1910","S+P+1E","0","1993","Emilian TITARU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1348","Strada DOAMNEI","11","Sector 3","1912","S+P+1E","0","1993","Paul VERNESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1349","Strada DOAMNEI","21","Sector 3","1890","S+P+1E","0","1993","Voicu DORDEA","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1350","Strada DOAMNEI","23","Sector 3","1884","S+P+1E+Ma","0","1993","Voicu DORDEA","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1351","Strada DOAMNEI","27÷29 (corp A+B+C)","Sector 3","1959; 1960","S+P+8E;S+P+6E; S+P+7E","0","1994","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1352","Strada DOBROGEI","12","Sector 1","1925","S+P+1E","0","1993","Nicolae ALEMAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1353","Strada DOINA","11 (bloc 1)","Sector 5","1960","S+P+2E","0","1993","Constantin PAVEL","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1354","Strada DOINA","13 (bloc 2)","Sector 5","1960","S+P+2E","0","1993","Constantin PAVEL","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1355","Strada DOINA","15 (bloc 3)","Sector 5","1960","S+P+2E","0","1993","Constantin PAVEL","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1356","Strada DOMNITA ANASTASIA","10","Sector 5","1935","S+P+6E","11","1992","Mihaela POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1357","Strada DOMNITA ANASTASIA","11","Sector 5","1890","S+P+2E","0","1995","Iorgu NICULA","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1358","Strada DOMNITA ANASTASIA","17","Sector 5","1930","S+P+7E","0","1993;1995","Gabriel NICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1359","Strada DOMNITA ANCUTA","9","Sector 1","1920","S+P+1E+Ma","0","1993","Stelian PICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1360","Calea DOROBANTILOR","51","Sector 1","1939","S+P+4E","0","1994","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1361","Calea DOROBANTILOR","69","Sector 1","1937","S+P+2E+Ma","0","1994","Radu PETROVICI","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1362","Calea DOROBANTILOR","70 (corp A+B)","Sector 1","1912","S+P+1E+Ma","7","1993","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1363","Calea DOROBANTILOR","75","Sector 1","1939","S+P+2E+Ma","0","1994","Adina SIMION","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1364","Calea DOROBANTILOR","134 (bloc 11)","Sector 1","1976","S+P+Mz+10E","0","1993","Mihai NAVODARIU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1365","Strada DRAGOS VODA","3","Sector 2","1932","S+P+2E+Ma","0","1993","Dan DUMITRESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1366","Intrarea DRAGUSA","5","Sector 4","1938","S+P+1E+Ma","0","1993","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1367","Intrarea DRAGUSA","6","Sector 4","1935","S+P+1E+Ma","0","1993","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"1368","Intrarea DRAGUSA","15","Sector 4","1937","S+P+2E+Ma","0","1993","Traian POPP","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"1369","Strada DRISTORULUI","73","Sector 3","1940","S+P+1E+Ma","0","1993","Viorel CONSTANTINESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"1370","Strada DRISTORULUI","104 (bloc 15B)","Sector 3","1977","S+P+10E","0","1995","Dan CAPATINA","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2. U3"
